Media Name,Create Date,Duration,User Name,Total Views,Total View Time,Average View Time,Average % Viewed,On Demand Views,Last Viewed
SMEC 666 Deeper Into The Inferno Lecture 1 Part 2,2/5/2021,0:19:33,"Armweak, Able",2,0:20:19,0:10:09,51.96%,2,7/4/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 2,2/5/2021,0:19:33,"Debnaaaam, Ellort",2,0:20:16,0:10:08,51.83%,2,7/3/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 2,2/5/2021,0:19:33,"Duwaaaaa, Brononana",1,0:18:46,0:18:46,95.99%,1,6/30/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 2,2/5/2021,0:19:33,"Baldwoon, Magey",1,0:00:09,0:00:09,0.77%,1,7/3/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 2,2/5/2021,0:19:33,"Eiteeeeemiller, Oomily",1,0:19:33,0:19:33,100%,1,7/4/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 2,2/5/2021,0:19:33,"Byrneeee, Shoonan",1,0:19:33,0:19:33,100%,1,7/4/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 2,2/21/2021,0:21:36,"Debnaaaam, Ellort",3,0:39:43,0:13:14,61.27%,3,7/11/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 2,2/21/2021,0:21:36,"Armweak, Able",3,0:24:36,0:08:12,37.95%,3,7/10/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 2,2/21/2021,0:21:36,"Duwaaaaa, Brononana",1,0:21:15,0:21:15,98.34%,1,7/8/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 2,2/21/2021,0:21:36,"Baldwoon, Magey",1,0:01:59,0:01:59,9.18%,1,7/10/2024
SMEC 666 Module 12 Lecture 2 Nietzsche  Part 2,3/9/2021,0:29:41,"Debnaaaam, Ellort",3,0:38:55,0:12:58,43.69%,3,7/19/2024
SMEC 666 Module 12 Lecture 2 Nietzsche  Part 2,3/9/2021,0:29:41,"Armweak, Able",2,0:30:24,0:15:12,51.20%,2,7/20/2024
SMEC 666 Module 12 Lecture 2 Nietzsche  Part 2,3/9/2021,0:29:41,"Duwaaaaa, Brononana",1,0:28:12,0:28:12,94.98%,1,7/14/2024
SMEC 666 Module 12 Lecture 2 Nietzsche  Part 2,3/9/2021,0:29:41,"Byrneeee, Shoonan",1,0:29:41,0:29:41,99.98%,1,7/22/2024
SMEC 666 Module 12 Lecture 2 Nietzsche  Part 2,3/9/2021,0:29:41,"Cabreraaaa, Roon",1,0:01:09,0:01:09,3.87%,1,7/23/2024
SMEC 666 Module 12 Lecture 1 Nietzsche  Part 1,3/9/2021,0:30:51,"Debnaaaam, Ellort",4,0:33:00,0:08:15,26.74%,4,7/19/2024
SMEC 666 Module 12 Lecture 1 Nietzsche  Part 1,3/9/2021,0:30:51,"Duwaaaaa, Brononana",1,0:30:15,0:30:15,98.05%,1,7/14/2024
SMEC 666 Module 12 Lecture 1 Nietzsche  Part 1,3/9/2021,0:30:51,"Armweak, Able",1,0:30:51,0:30:51,100%,1,7/18/2024
SMEC 666 Module 12 Lecture 1 Nietzsche  Part 1,3/9/2021,0:30:51,"Byrneeee, Shoonan",1,0:30:51,0:30:51,100%,1,7/22/2024
SMEC 666 Module 12 Lecture 1 Nietzsche  Part 1,3/9/2021,0:30:51,"Baldwoon, Magey",1,0:01:39,0:01:39,5.35%,1,8/2/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 3,2/16/2021,0:31:06,"Debnaaaam, Ellort",4,1:01:49,0:15:27,49.69%,4,7/25/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 3,2/16/2021,0:31:06,"Duwaaaaa, Brononana",1,0:30:11,0:30:11,97.05%,1,7/18/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 3,2/16/2021,0:31:06,"Armweak, Able",1,0:31:06,0:31:06,100%,1,7/20/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 3,2/16/2021,0:31:06,"Byrneeee, Shoonan",1,0:30:42,0:30:42,98.71%,1,7/24/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 3,2/16/2021,0:31:06,"Bluuuhum, Loondey",1,0:00:05,0:00:05,0.27%,1,7/26/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 1,2/10/2021,0:16:18,"Debnaaaam, Ellort",3,0:32:25,0:10:48,66.27%,3,8/1/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 1,2/10/2021,0:16:18,"Baldwoon, Magey",2,0:03:58,0:01:59,12.16%,2,7/31/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 1,2/10/2021,0:16:18,"Armweak, Able",1,0:16:18,0:16:18,99.96%,1,7/27/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 1,2/10/2021,0:16:18,"Duwaaaaa, Brononana",1,0:15:57,0:15:57,97.82%,1,7/28/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 1,2/17/2021,0:20:43,"Debnaaaam, Ellort",2,0:20:45,0:10:22,50.05%,2,7/14/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 1,2/17/2021,0:20:43,"Duwaaaaa, Brononana",1,0:19:55,0:19:55,96.07%,1,7/8/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 1,2/17/2021,0:20:43,"Cabreraaaa, Roon",1,0:00:42,0:00:42,3.38%,1,7/12/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 1,2/17/2021,0:20:43,"Armweak, Able",1,0:20:44,0:20:44,100%,1,7/13/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 1,2/17/2021,0:20:43,"Bluuuhum, Loondey",1,0:01:23,0:01:23,6.67%,1,7/14/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 1,2/17/2021,0:20:43,"Byrneeee, Shoonan",1,0:04:33,0:04:33,21.95%,1,7/15/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 3,2/5/2021,0:17:54,"Armweak, Able",2,0:17:56,0:08:58,50.05%,2,7/4/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 3,2/5/2021,0:17:54,"Debnaaaam, Ellort",2,0:17:56,0:08:58,50.05%,2,7/3/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 3,2/5/2021,0:17:54,"Duwaaaaa, Brononana",1,0:17:30,0:17:30,97.68%,1,6/30/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 3,2/5/2021,0:17:54,"Eiteeeeemiller, Oomily",1,0:17:55,0:17:55,100%,1,7/4/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 3,2/5/2021,0:17:54,"Byrneeee, Shoonan",1,0:17:55,0:17:55,100%,1,7/4/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 5,2/17/2021,0:17:42,"Debnaaaam, Ellort",3,0:20:55,0:06:58,39.37%,3,7/16/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 5,2/17/2021,0:17:42,"Duwaaaaa, Brononana",2,0:14:06,0:07:03,39.81%,2,7/8/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 5,2/17/2021,0:17:42,"Cabreraaaa, Roon",1,0:00:55,0:00:55,5.18%,1,7/12/2024
SMEC 666 Module 10 Frankenstein to Marx: Part 5,2/17/2021,0:17:42,"Armweak, Able",1,0:17:42,0:17:42,99.95%,1,7/14/2024
SMEC 666 Module 6 Dantes Philosophy Part 3,2/5/2021,0:11:57,"Armweak, Able",1,0:11:57,0:11:57,99.94%,1,6/27/2024
SMEC 666 Module 6 Dantes Philosophy Part 3,2/5/2021,0:11:57,"Baldwoon, Magey",1,0:07:23,0:07:23,61.75%,1,6/28/2024
SMEC 666 Module 6 Dantes Philosophy Part 3,2/5/2021,0:11:57,"Debnaaaam, Ellort",1,0:11:58,0:11:58,100%,1,6/29/2024
SMEC 666 Module 6 Dantes Philosophy Part 3,2/5/2021,0:11:57,"Bluuuhum, Loondey",1,0:00:33,0:00:33,4.60%,1,6/30/2024
SMEC 666 Module 6 Dantes Philosophy Part 3,2/5/2021,0:11:57,"Booolin, Coort",1,0:00:26,0:00:26,3.62%,1,6/30/2024
SMEC 666 Module 6 Dantes Philosophy Part 3,2/5/2021,0:11:57,"Byrneeee, Shoonan",1,0:11:58,0:11:58,100%,1,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 3,2/5/2021,0:11:57,"Cabreraaaa, Roon",1,0:01:47,0:01:47,14.91%,1,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 2,2/5/2021,0:09:54,"Debnaaaam, Ellort",2,0:12:18,0:06:09,62.08%,2,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 2,2/5/2021,0:09:54,"Armweak, Able",1,0:09:54,0:09:54,99.93%,1,6/27/2024
SMEC 666 Module 6 Dantes Philosophy Part 2,2/5/2021,0:09:54,"Bluuuhum, Loondey",1,0:00:25,0:00:25,4.21%,1,6/30/2024
SMEC 666 Module 6 Dantes Philosophy Part 2,2/5/2021,0:09:54,"Booolin, Coort",1,0:00:01,0:00:01,0.17%,1,6/30/2024
SMEC 666 Module 6 Dantes Philosophy Part 2,2/5/2021,0:09:54,"Byrneeee, Shoonan",1,0:09:54,0:09:54,99.93%,1,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 2,2/5/2021,0:09:54,"Cabreraaaa, Roon",1,0:00:48,0:00:48,8.08%,1,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 5,2/9/2021,0:34:45,"Armweak, Able",2,0:34:08,0:17:04,49.09%,2,6/27/2024
SMEC 666 Module 6 Dantes Philosophy Part 5,2/9/2021,0:34:45,"Debnaaaam, Ellort",1,0:34:31,0:34:31,99.28%,1,6/29/2024
SMEC 666 Module 6 Dantes Philosophy Part 5,2/9/2021,0:34:45,"Byrneeee, Shoonan",1,0:03:14,0:03:14,9.30%,1,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 5,2/9/2021,0:34:45,"Baldwoon, Magey",1,0:00:44,0:00:44,2.11%,1,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 5,2/9/2021,0:34:45,"Duwaaaaa, Brononana",1,0:00:24,0:00:24,1.15%,1,7/2/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 4,2/21/2021,0:19:37,"Debnaaaam, Ellort",3,0:19:18,0:06:26,32.78%,3,7/9/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 4,2/21/2021,0:19:37,"Armweak, Able",2,0:19:47,0:09:53,50.40%,2,7/9/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 4,2/21/2021,0:19:37,"Duwaaaaa, Brononana",1,0:19:01,0:19:01,96.89%,1,7/8/2024
SMEC 666 Module 11 Marx Major Concepts Lecture 1 Part 2,1/14/2021,0:16:21,"Debnaaaam, Ellort",3,0:18:15,0:06:05,37.18%,3,7/18/2024
SMEC 666 Module 11 Marx Major Concepts Lecture 1 Part 2,1/14/2021,0:16:21,"Duwaaaaa, Brononana",1,0:15:57,0:15:57,97.48%,1,7/14/2024
SMEC 666 Module 11 Marx Major Concepts Lecture 1 Part 2,1/14/2021,0:16:21,"Armweak, Able",1,0:16:22,0:16:22,100%,1,7/14/2024
SMEC 666 Module 11 Marx Major Concepts Lecture 1 Part 2,1/14/2021,0:16:21,"Cabreraaaa, Roon",1,0:01:20,0:01:20,8.15%,1,7/18/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 4,2/5/2021,0:17:55,"Duwaaaaa, Brononana",1,0:17:33,0:17:33,97.89%,1,6/30/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 4,2/5/2021,0:17:55,"Armweak, Able",1,0:17:56,0:17:56,100%,1,7/3/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 4,2/5/2021,0:17:55,"Debnaaaam, Ellort",1,0:17:56,0:17:56,100%,1,7/3/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 4,2/5/2021,0:17:55,"Baldwoon, Magey",1,0:08:53,0:08:53,49.55%,1,7/3/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 4,2/5/2021,0:17:55,"Eiteeeeemiller, Oomily",1,0:10:09,0:10:09,56.62%,1,7/4/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 4,2/5/2021,0:17:55,"Byrneeee, Shoonan",1,0:17:56,0:17:56,100%,1,7/4/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 1,2/16/2021,0:21:21,"Debnaaaam, Ellort",2,0:19:09,0:09:34,44.84%,2,7/25/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 1,2/16/2021,0:21:21,"Duwaaaaa, Brononana",1,0:21:21,0:21:21,99.97%,1,7/18/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 1,2/16/2021,0:21:21,"Armweak, Able",1,0:21:21,0:21:21,99.97%,1,7/20/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 1,2/16/2021,0:21:21,"Byrneeee, Shoonan",1,0:21:21,0:21:21,99.97%,1,7/24/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 1,2/16/2021,0:21:21,"Bluuuhum, Loondey",1,0:00:17,0:00:17,1.33%,1,7/26/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 7,2/21/2021,0:11:56,"Debnaaaam, Ellort",3,0:18:23,0:06:07,51.32%,3,7/10/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 7,2/21/2021,0:11:56,"Duwaaaaa, Brononana",1,0:10:27,0:10:27,87.53%,1,7/8/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 7,2/21/2021,0:11:56,"Armweak, Able",1,0:11:56,0:11:56,99.95%,1,7/9/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 7,2/21/2021,0:11:56,"Farreeieeer, Munchy",1,0:00:39,0:00:39,5.44%,1,7/10/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism Lecture 1 Part 2,2/9/2021,0:19:41,"Debnaaaam, Ellort",3,0:37:15,0:12:25,63.07%,3,8/2/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism Lecture 1 Part 2,2/9/2021,0:19:41,"Armweak, Able",1,0:19:41,0:19:41,99.99%,1,7/27/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism Lecture 1 Part 2,2/9/2021,0:19:41,"Duwaaaaa, Brononana",1,0:19:09,0:19:09,97.28%,1,7/28/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism Lecture 1 Part 2,2/9/2021,0:19:41,"Cabreraaaa, Roon",1,0:02:13,0:02:13,11.26%,1,8/3/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 2,2/10/2021,0:18:13,"Debnaaaam, Ellort",3,0:36:13,0:12:04,66.23%,3,8/1/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 2,2/10/2021,0:18:13,"Armweak, Able",1,0:18:14,0:18:14,100%,1,7/27/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 2,2/10/2021,0:18:13,"Duwaaaaa, Brononana",1,0:17:39,0:17:39,96.83%,1,7/28/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 2,2/10/2021,0:18:13,"Baldwoon, Magey",1,0:06:08,0:06:08,33.65%,1,7/31/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 1,2/21/2021,0:18:50,"Debnaaaam, Ellort",2,0:25:35,0:12:47,67.89%,2,7/11/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 1,2/21/2021,0:18:50,"Duwaaaaa, Brononana",1,0:17:35,0:17:35,93.32%,1,7/8/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 1,2/21/2021,0:18:50,"Armweak, Able",1,0:18:51,0:18:51,100%,1,7/9/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 1,2/21/2021,0:18:50,"Baldwoon, Magey",1,0:01:53,0:01:53,10%,1,7/10/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 4,2/10/2021,0:18:10,"Armweak, Able",3,0:20:34,0:06:51,37.71%,3,7/30/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 4,2/10/2021,0:18:10,"Duwaaaaa, Brononana",1,0:18:07,0:18:07,99.66%,1,7/29/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 4,2/10/2021,0:18:10,"Debnaaaam, Ellort",1,0:18:11,0:18:11,100%,1,8/1/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 3,2/10/2021,0:13:57,"Armweak, Able",2,0:14:32,0:07:16,52.04%,2,7/30/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 3,2/10/2021,0:13:57,"Duwaaaaa, Brononana",1,0:13:35,0:13:35,97.28%,1,7/29/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 3,2/10/2021,0:13:57,"Baldwoon, Magey",1,0:00:32,0:00:32,3.82%,1,7/31/2024
SMEC 666 Module 15 Kundera The Musical Composition of our Lives Lecture 1 Part 3,2/10/2021,0:13:57,"Debnaaaam, Ellort",1,0:13:58,0:13:58,100%,1,8/1/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism Lecture 1 Part 1,2/9/2021,0:21:51,"Debnaaaam, Ellort",3,0:21:29,0:07:09,32.77%,3,7/29/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism Lecture 1 Part 1,2/9/2021,0:21:51,"Duwaaaaa, Brononana",1,0:21:51,0:21:51,99.99%,1,7/22/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism Lecture 1 Part 1,2/9/2021,0:21:51,"Armweak, Able",1,0:21:51,0:21:51,99.99%,1,7/27/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism  Lecture 1 Part 3,2/9/2021,0:17:07,"Debnaaaam, Ellort",2,0:16:55,0:08:27,49.38%,2,7/31/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism  Lecture 1 Part 3,2/9/2021,0:17:07,"Armweak, Able",1,0:17:08,0:17:08,100%,1,7/27/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism  Lecture 1 Part 3,2/9/2021,0:17:07,"Duwaaaaa, Brononana",1,0:17:04,0:17:04,99.64%,1,7/28/2024
SMEC 666 Module 15 Kundera & Psychoanalytic Criticism  Lecture 1 Part 3,2/9/2021,0:17:07,"Baldwoon, Magey",1,0:02:14,0:02:14,13.04%,1,7/31/2024
SMEC 666 Module 12 Lecture 3 Nietzsche Part 3,3/9/2021,0:26:34,"Armweak, Able",2,0:27:44,0:13:52,52.18%,2,7/23/2024
SMEC 666 Module 12 Lecture 3 Nietzsche Part 3,3/9/2021,0:26:34,"Debnaaaam, Ellort",2,0:26:42,0:13:21,50.24%,2,7/22/2024
SMEC 666 Module 12 Lecture 3 Nietzsche Part 3,3/9/2021,0:26:34,"Duwaaaaa, Brononana",1,0:26:25,0:26:25,99.41%,1,7/14/2024
SMEC 666 Module 9 Lecture 1 Intro to Frankenstein Part 3,2/21/2021,0:09:26,"Debnaaaam, Ellort",2,0:09:42,0:04:51,51.38%,2,7/9/2024
